Issuer,Future Predictions
ADIN,"[74091.13019704819, 74802.69178748131, 75732.0885360241, 76657.32324123383, 77458.89768004417, 78033.52758288383, 78507.39076733589, 78981.33248090744, 79480.80539703369, 79992.77368187904, 80624.61897730827, 81062.34952807426, 81354.17759418488, 81583.75978469849, 81786.6513133049, 82102.76335477829, 82323.61495494843, 82264.42247629166, 82070.16453146935, 81873.4259903431, 81727.36182808876, 81787.88468241692, 81843.53411197662, 81685.50118803978, 81442.82773137093, 81230.82220554352, 81090.69392085075, 81025.4454612732, 81022.16109633446, 81063.58751654625]"
ALK,"[1656383.7328906062, 1657481.0390033724, 1663154.0793285372, 1671189.5766305926, 1680628.7388181689, 1690445.271019459, 1699792.0905261042, 1708237.9373707774, 1714593.8644518855, 1720049.239886284, 1724082.8467788699, 1727665.2656483653, 1731070.0160770419, 1734126.4465451243, 1736712.4626264574, 1738944.6855487826, 1740126.756067753, 1740488.4081783297, 1740987.1709260943, 1741559.7516832354, 1740680.1104612353, 1739524.9849190714, 1737866.746138096, 1737397.7351355555, 1736029.5758705141, 1734267.4866580965, 1733788.6519660952, 1734134.305496693, 1735158.6356306078, 1735741.0400772097]"
AUMK,"[190398.5518425703, 190875.61509907246, 191443.22006702423, 192014.46385383606, 192542.43108332157, 193007.63009786606, 193405.7450890541, 193740.2399867773, 194017.91289448738, 195162.33552992344, 195589.52158093452, 195739.33936953545, 195721.58531844616, 195627.05501019955, 195510.30251979828, 195400.83895027637, 195311.75276637077, 195246.37814164162, 195202.7800142765, 195121.3494539261, 195016.86175763607, 194937.7386033535, 194886.4453613758, 194860.2007329464, 194854.20373380184, 194863.23026120663, 194882.54138827324, 194908.23878347874, 194937.24214434624, 194967.21585690975]"
BANA,"[56272.62782752514, 56276.49380117655, 56279.82570528984, 56281.95870369673, 56283.13443958759, 56283.77441316843, 56284.23008620739, 56284.72151905298, 56285.35271137953, 56286.14736199379, 56287.08261847496, 56288.11499774456, 56289.19699639082, 56290.284602344036, 56291.34279638529, 56292.3452347517, 56293.27435493469, 56294.11989450455, 56294.87719833851, 56295.54605484009, 56296.12963795662, 56296.632497012615, 56297.06161469221, 56297.42365628481, 56297.7264508605, 56297.977086901665, 56298.18265289068, 56298.350025713444, 56298.48491847515, 56298.593044281006]"
APTK,"[75000.00020824707, 75000.00020812146, 75000.0002078079, 75000.00020733973, 75000.00020677788, 75000.0002061821, 75000.0002055984, 75000.00020505837, 75000.00020457953, 75000.00020416986, 75000.00020382952, 75000.00020355394, 75000.00020333612, 75000.00020316773, 75000.00020304078, 75000.00020294692, 75000.00020287931, 75000.00020283181, 75000.0002027996, 75000.00020277826, 75000.00020276496, 75000.00020275716, 75000.00020275297, 75000.00020275085, 75000.00020275012, 75000.00020275006, 75000.00020275044, 75000.00020275073, 75000.00020275096, 75000.00020275096]"
AMEH,"[58626.00237131119, 58673.03974926472, 58735.749423503876, 58794.60155963898, 58842.91857481003, 58880.20873069763, 58908.47250819206, 58930.34927546978, 58948.17851483822, 58963.73346447945, 58978.15778851509, 58992.09409952164, 59005.78826665878, 59019.25519108772, 59032.379388809204, 59044.970870018005, 59056.865721940994, 59067.90189445019, 59077.984392642975, 59087.05547451973, 59095.10210156441, 59102.1466255188, 59108.24865102768, 59113.467782735825, 59117.897152900696, 59121.61871790886, 59124.72188472748, 59127.28860974312, 59129.400849342346, 59131.13310933113]"
ALKB,"[1199504.8550271895, 1200244.295786717, 1201093.5518365586, 1201803.027876187, 1202323.4748879913, 1202683.7974162772, 1202932.0790357888, 1203111.513281241, 1203253.3635478467, 1203377.4040164426, 1203494.6206798777, 1203610.180046875, 1203725.7700315677, 1203841.2196598947, 1203955.4882333614, 1204067.3246704973, 1204175.4884999245, 1204278.9538772777, 1204376.91322295, 1204468.8102649525, 1204554.2848664336, 1204633.1836357713, 1204705.4720143788, 1204771.2636818178, 1204830.7778122835, 1204884.2851147056, 1204932.1320843883, 1204974.7009878047, 1205012.3671190813, 1205045.563673135]"
BGOR,"[31951.781654357914, 31842.815208435062, 31742.14534759522, 31667.49877929688, 31623.345565795902, 31606.67362213135, 31611.600303649906, 31631.775665283207, 31661.557388305668, 31696.432685852054, 31733.08372497559, 31769.199371337894, 31803.32698822022, 31834.63344573975, 31862.7462387085, 31887.573242187504, 31909.238624572758, 31927.95734405518, 31944.016456604008, 31957.71236419678, 31969.33746337891, 31979.178810119633, 31987.482070922855, 31994.474220275883, 32000.348854064945, 32005.278205871586, 32009.414482116703, 32012.879180908207, 32015.775108337406, 32018.202400207523]"
ATPP,"[30077.205919474363, 30242.728430777788, 30482.67189580947, 30728.662361204624, 30946.441547200084, 31123.381759226322, 31258.961250633, 31358.400155603886, 31428.84797230363, 31477.353171259165, 31509.962781518698, 31531.454876810312, 31545.399559289217, 31554.350516200066, 31560.074727237225, 31563.750676065683, 31566.14774465561, 31567.750934511423, 31568.857706338167, 31569.647052884102, 31570.220862329006, 31570.641093701124, 31570.936546474695, 31571.130914241076, 31571.23440876603, 31571.256094425917, 31571.208649873734, 31571.098385751247, 31570.93620225787, 31570.72904109955]"
BIKF,"[71890.45794010162, 71969.80386078358, 72060.18985807896, 72138.48760724068, 72199.20968711376, 72244.02233660221, 72276.64612233639, 72300.65234601498, 72318.74546706676, 72332.69897401333, 72343.58094036579, 72351.97294652462, 72358.20558667183, 72362.48562037945, 72364.98995423317, 72365.90544581413, 72365.43996036053, 72363.83011043072, 72361.31693124771, 72358.13150703907, 72354.50160503387, 72350.62403380871, 72346.6635376215, 72342.75832474232, 72339.0112221241, 72335.49741506577, 72332.27439820766, 72329.35433387756, 72326.75601840019, 72324.47613477707]"
BIM,"[702390.9658127232, 701296.5363773168, 700210.0553850178, 699522.2477772855, 699292.7682435489, 699446.3136610459, 699869.2802304635, 700452.7053547674, 701108.3545790636, 701772.012182523, 702401.1270232964, 702970.5784659833, 703468.1665776297, 703890.6963054091, 704240.8217408229, 704524.6415056288, 704749.9800726306, 704925.2161950804, 705058.6200241465, 705157.7798743267, 705229.4690322131, 705279.5238352846, 705312.8523805644, 705333.4970220458, 705344.7317027487, 705349.1285503376, 705348.7592007965, 705345.1358869206, 705339.4875539932, 705332.6543313451]"
BLTU,"[10000.0, 10000.0, 10000.0, 10000.0, 10000.0, 10000.0, 10000.0, 10000.0, 10000.0, 10000.0, 10000.0, 10000.0, 10000.0, 10000.0, 10000.0, 10000.0, 10000.0, 10000.0, 10000.0, 10000.0, 10000.0, 10000.0, 10000.0, 10000.0, 10000.0, 10000.0, 10000.0, 10000.0, 10000.0, 10000.0]"
CBNG,"[320000.0, 320000.0, 320000.0, 320000.0, 320000.0, 320000.0, 320000.0, 320000.0, 320000.0, 320000.0, 320000.0, 320000.0, 320000.0, 320000.0, 320000.0, 320000.0, 320000.0, 320000.0, 320000.0, 320000.0, 320000.0, 320000.0, 320000.0, 320000.0, 320000.0, 320000.0, 320000.0, 320000.0, 320000.0, 320000.0]"
CDHV,"[1502064.6028220654, 1502069.4095641375, 1501938.1219521165, 1501680.3013160825, 1501342.5656594336, 1500972.4316187203, 1500605.5931560695, 1500264.1571685672, 1499959.1663479805, 1499694.096017629, 1499467.8666815162, 1499277.0660668612, 1499117.35849455, 1498984.304163605, 1498873.7632520497, 1498782.08367154, 1498706.1341293156, 1498643.2663165033, 1498591.2726260722, 1498548.3103431761, 1498512.8463245928, 1498483.6132265627, 1498459.5439396799, 1498439.761530608, 1498423.5271811485, 1498410.2293848991, 1498399.355635047, 1498390.4782682657, 1498383.2441270351, 1498377.3600310087]"
CEVI,"[74248.63820719719, 74119.74210715294, 74080.63473200798, 74098.7360213995, 74146.0774204731, 74199.6918233633, 74243.09987950325, 74266.1348016262, 74263.99858951569, 74236.01308059692, 74184.34839510918, 74112.86440837383, 74026.26304757595, 73929.4044778347, 73826.87194788456, 73722.66661691666, 73620.12843561172, 73521.8287703991, 73429.66082513332, 73344.86224651337, 73268.15075659752, 73199.80327177048, 73139.74067306519, 73087.64648461342, 73043.01773583889, 73005.21017229557, 72973.55693411827, 72947.36855602264, 72925.93296730518, 72908.60026216507]"
CKB,"[52826.17616653443, 52836.17758750916, 52913.041114807136, 53027.13584899903, 53158.03194046021, 53292.33121871949, 53421.8282699585, 53541.929006576545, 53650.5048274994, 53746.94204330445, 53831.57110214234, 53905.207395553596, 53968.90664100648, 54023.77605438233, 54070.909976959236, 54111.312627792366, 54145.88737487794, 54175.44531822205, 54200.681686401374, 54222.21231460572, 54240.56720733643, 54256.1948299408, 54269.49644088746, 54280.80034255982, 54290.40479660035, 54298.560857772834, 54305.47237396241, 54311.330318450935, 54316.28918647767, 54320.490598678596]"
DEBA,"[155000.0004436685, 155000.00044404424, 155000.0004445199, 155000.00044502717, 155000.00044555945, 155000.00044611676, 155000.00044669196, 155000.0004472709, 155000.00044783717, 155000.00044837568, 155000.0004488748, 155000.00044932723, 155000.0004497295, 155000.00045008227, 155000.00045038754, 155000.0004506494, 155000.0004508725, 155000.00045106222, 155000.00045122282, 155000.00045135876, 155000.00045147413, 155000.0004515723, 155000.0004516557, 155000.00045172733, 155000.00045178866, 155000.00045184125, 155000.00045188685, 155000.00045192623, 155000.00045196034, 155000.0004519898]"
CKBKO,"[-6.947682122699916, -10.26455545797944, -6.4481719164177775, 2.7932424563914537, 14.714141143485904, 27.120178565382957, 38.74314948916435, 49.07038062810898, 58.05526860058308, 65.87535608559847, 72.77070544660091, 78.95956747233868, 84.60366167128086, 89.80580605566502, 94.61923502385616, 99.06494989991188, 103.14507409930229, 106.85445740818977, 110.18878780305386, 113.14960196614265, 115.74473232030869, 117.98938736319542, 119.90498751401901, 121.51780538260937, 122.8564977645874, 123.95145371556282, 124.8327735811472, 125.53015723824501, 126.07085518538952, 126.48015283048153]"
